id,plataforma,usuario,timestamp,comentario
1,Instagram,user11,2025-06-13 15:07:08,Excelente post!
2,Instagram,user170,2025-06-27 14:33:29,"Ótimas referências e fontes, obrigada!"
3,Instagram,user132,2025-07-01 18:26:10,Incrível!
4,Instagram,user161,2025-06-17 03:02:37,"Exemplo muito prático, gostei!"
5,Instagram,user50,2025-06-07 16:29:23,Adorei!
6,Instagram,user218,2025-07-01 18:10:43,Boa dica!
7,Instagram,user164,2025-06-09 00:23:14,Pode explicar melhor?
8,Instagram,user282,2025-06-04 13:30:31,Adorei especialmente a forma como você explicou o tópico.
9,Instagram,user150,2025-06-26 02:32:34,Muito bom 😊
10,Instagram,user174,2025-06-17 08:59:00,Incrível!
11,Instagram,user40,2025-06-12 10:23:53,Está ótimo!
12,Instagram,user178,2025-06-21 13:26:55,Curti demais o formato de apresentação.
13,Instagram,user254,2025-06-23 19:30:20,Sensacional! Obrigado pelos insights.
14,Instagram,user229,2025-06-05 04:42:31,👏👏👏
15,Instagram,user158,2025-06-04 21:28:32,Valeu pelas dicas!
16,Instagram,user22,2025-06-23 07:14:14,Muito bom 😊
17,Instagram,user119,2025-06-08 00:26:32,Conteúdo relevante.
18,Instagram,user27,2025-06-22 21:19:42,Muito bom!
19,Instagram,user26,2025-06-29 22:26:42,Muito interessante.
20,Instagram,user270,2025-06-04 18:01:57,Valeu pelas dicas!
21,Instagram,user30,2025-06-16 15:56:15,Gostei da abordagem prática e exemplos reais.
22,Instagram,user266,2025-06-17 09:09:22,Incrível!
23,Instagram,user290,2025-06-04 16:09:54,Incrível post!
24,Instagram,user88,2025-06-14 21:20:49,Muito esclarecedor.
25,Instagram,user238,2025-06-18 23:54:06,Bem interessante.
26,Instagram,user45,2025-06-03 04:15:58,Obrigado!
27,Instagram,user108,2025-06-29 23:38:30,Valeu pelas dicas!
28,Instagram,user112,2025-06-15 03:10:45,Adorei especialmente a forma como você explicou o tópico.
29,Instagram,user218,2025-06-08 21:38:54,Excelente uso de exemplos.
30,Instagram,user94,2025-06-22 08:36:00,Incrível post!
31,Instagram,user153,2025-06-16 03:15:11,Top!
32,Instagram,user78,2025-06-15 18:51:52,Perfeito!
33,Instagram,user299,2025-06-09 22:01:49,"Esse tutorial foi bem claro e objetivo, me ajudou muito."
34,Instagram,user222,2025-06-19 07:37:38,"Esse tutorial foi bem claro e objetivo, me ajudou muito."
35,Instagram,user2,2025-06-20 16:45:09,Parabéns pelo trabalho!
36,Instagram,user297,2025-06-08 04:25:32,Obrigado por compartilhar.
37,Instagram,user87,2025-06-28 04:50:57,Gostei da abordagem prática e exemplos reais.
38,Instagram,user286,2025-06-09 21:36:33,Está ótimo!
39,Instagram,user293,2025-06-23 04:40:13,Muito interessante.
40,Instagram,user12,2025-06-28 09:51:37,Bacana!
41,Instagram,user184,2025-06-07 10:55:54,Bacana!
42,Instagram,user59,2025-06-20 14:59:33,"Ótimas referências e fontes, obrigada!"
43,Instagram,user288,2025-06-17 20:56:30,Obrigado!
44,Instagram,user11,2025-07-02 02:51:19,Sensacional!
45,Instagram,user189,2025-06-24 02:01:06,Curti!
46,Instagram,user67,2025-06-11 17:57:19,Obrigado por compartilhar.
47,Instagram,user146,2025-06-08 23:31:25,Ótima informação.
48,Instagram,user212,2025-06-13 20:47:20,👏👏👏
49,Instagram,user46,2025-06-04 21:31:15,Adorei!
50,Instagram,user269,2025-06-30 23:16:54,Legal demais.
51,Instagram,user1,2025-06-22 19:35:35,Excelente post!
52,Instagram,user129,2025-07-02 06:08:14,"Ótimas referências e fontes, obrigada!"
53,Instagram,user75,2025-06-28 06:29:05,Isso ajudou muito.
54,Instagram,user11,2025-07-01 06:47:02,Gostei bastante.
55,Instagram,user171,2025-06-08 00:35:06,Incrível post!
56,Instagram,user145,2025-06-26 13:23:44,#dica #aprendizado
57,Instagram,user215,2025-06-23 20:36:15,Muito interessante.
58,Instagram,user83,2025-06-26 11:40:45,Muito bom!
59,Instagram,user242,2025-06-10 04:31:55,Gostei da abordagem prática e exemplos reais.
60,Instagram,user155,2025-06-14 21:25:10,Amo o jeito que você aborda o assunto.
61,Instagram,user214,2025-06-27 02:31:26,Valeu pelas dicas!
62,Instagram,user81,2025-06-17 13:21:41,Show de bola!
63,Instagram,user252,2025-06-23 10:24:00,Legal demais.
64,Instagram,user296,2025-06-21 07:33:16,Conteúdo relevante.
65,Instagram,user23,2025-06-21 07:47:10,Legal demais.
66,Instagram,user50,2025-06-15 09:59:25,Incrível post!
67,Instagram,user123,2025-06-08 22:22:06,Muito esclarecedor.
68,Instagram,user83,2025-06-08 01:02:09,Show de bola!
69,Instagram,user48,2025-06-07 12:56:21,Adorei!
70,Instagram,user122,2025-07-02 08:28:22,Curti demais o formato de apresentação.
71,Instagram,user122,2025-06-03 09:17:50,"Ótimas referências e fontes, obrigada!"
72,Instagram,user282,2025-06-03 08:12:23,Parabéns pelo trabalho!
73,Instagram,user175,2025-06-06 18:48:45,Muito bom 😊
74,Instagram,user71,2025-06-29 14:56:58,Muito bom 😊
75,Instagram,user90,2025-06-07 10:56:25,Me ajudou bastante.
76,Instagram,user48,2025-06-11 03:22:08,Perfeito!
77,Instagram,user203,2025-06-09 01:06:07,Curti demais o formato de apresentação.
78,Instagram,user91,2025-06-04 22:15:49,#incrível
79,Instagram,user118,2025-06-17 10:47:09,Que legal!
80,Instagram,user60,2025-06-10 05:18:21,Amo o jeito que você aborda o assunto.
81,Instagram,user167,2025-06-20 07:15:35,Isso ajudou muito.
82,Instagram,user234,2025-06-27 02:48:08,Pode explicar melhor?
83,Instagram,user24,2025-06-21 21:05:23,Me ajudou bastante.
84,Instagram,user173,2025-06-14 06:56:39,Curti!
85,Instagram,user152,2025-06-20 22:55:55,"Exemplo muito prático, gostei!"
86,Instagram,user273,2025-06-27 02:21:59,Sensacional! Obrigado pelos insights.
87,Instagram,user204,2025-06-06 10:58:33,Está ótimo!
88,Instagram,user240,2025-06-12 02:03:33,Muito interessante.
89,Instagram,user46,2025-06-29 22:33:37,Qual ferramenta você usou?
90,Instagram,user80,2025-06-18 14:03:17,Obrigado!
91,Instagram,user159,2025-06-05 16:38:55,Super útil!
92,Instagram,user27,2025-06-04 16:13:32,Incrível post!
93,Instagram,user95,2025-06-28 12:49:59,Gostei da abordagem prática e exemplos reais.
94,Instagram,user170,2025-06-17 07:34:05,#incrível
95,Instagram,user281,2025-07-02 03:53:17,Bem interessante.
96,Instagram,user229,2025-06-16 20:07:22,Show de bola!
97,Instagram,user300,2025-06-12 08:36:16,Muito esclarecedor.
98,Instagram,user34,2025-06-13 16:36:53,Muito bom 😊
99,Instagram,user64,2025-06-16 21:08:55,Bacana!
100,Instagram,user173,2025-06-25 05:34:27,Obrigado!
101,Instagram,user60,2025-06-21 22:49:55,Isso ajudou muito.
102,Instagram,user196,2025-06-25 15:38:42,Valeu pelas dicas!
103,Instagram,user171,2025-06-06 09:23:04,Bem interessante.
104,Instagram,user134,2025-06-13 00:37:41,Muito bom 😊
105,Instagram,user136,2025-06-05 20:20:44,Está ótimo!
